name,technologies,topics,category
3DTK,c/c++ | cmake | opencv | ros | boost, 3d | point clouds | slam | robotics | mapping,Science and Medicine
52° North Initiative for Geospatial Open Source Software GmbH,javascript | java | spring | r | bigdata,geoinformatics | geoprocessing | remote sensing | geostatistics | sensor web,Science and Medicine
AerospaceResearch.net,python | c/c++ | vhdl | boinc | java,cubesats | space applications | software defined radio | distributed computing | simulations,Science and Medicine
aimacode,python | java | javascript | ai | jupyter,artificial intelligence | machine learning | education,Programming Languages and Development Tools
Amahi,rubyonrails | golang | swift | javascript | android,media server | storage server | streaming |  web apps | front-end,Operating Systems
AOSSIE - Australian Open Source Software Innovation and Education,scala | isabelleproofassistant | browserextension | javascript/html5/css3 | android/ios,logic | electronic voting | philosophy | environment | natural language processing,Web
Apache Software Foundation,c | java | erlang,other | cloud | libraries | big data,Other
Apertium,c++ | python | xml | fsts,machine translation | language technology | grammar | natural language processing,Other
Apertus Association,fpga | embedded | linux | c/c++ | vhdl,vision | camera | cinematography | digital imaging | photography,Graphics / Video / Audio / Virtual Reality
appleseedhq,c/c++ | qt,graphics | rendering | physics | mathematics | high performance,Graphics / Video / Audio / Virtual Reality
ArduPilot,drones | python | linux | c/c++ | robotics,vision | robotics | embedded systems | real-time os | drones,End User Applications
BeagleBoard.org Foundation,linux | gcc | real-time | physicalcomputing | iot,robotics | ros | audio | iot | interfaces,Programming Languages and Development Tools
Beam Community,erlang | xmpp,distributed computing | real time | distributed databases | iot | instant messaging,Programming Languages and Development Tools
BeeWare Project,python | ios | android | javascript | java,mobile | cross desktop | app development,Programming Languages and Development Tools
Berkman Klein Center for Internet & Society at Harvard University,rubyonrails | meteor.js | elasticsearch | javascript | elk, web |  research | education | internet freedom | internet censorship,Other
Blender Foundation,c | c++ | python | opengl | opencl,animation | rendering | 3d | games | simulation,Graphics / Video / Audio / Virtual Reality
Boost C++ Libraries,c++11 | c++14 | c++ | c++17,c++ development | c++ tools | c++ standardization | software engineering,Programming Languages and Development Tools
Boston University / XIA,xia | linuxkernel | c | advanceddatastructures | ddos,computer networking | future internet architecture | research,Cloud
BRL-CAD,c/c++ | qt | opengl | opencl | tcl/tk,cad | geometry | 3d | graphics user interface | software visualization,Graphics / Video / Audio / Virtual Reality
Canadian Centre for Computational Genomics,r | perl | awk | bash | python,bioinformatics | data science | next-generation sequencing | visualization | statistics,Science and Medicine
Catrobat,java | android | ios | espresso,programming language | app development | education | scratch,Programming Languages and Development Tools
CCExtractor Development,c | python | arduino | node.js | c#,media | subtitles | video | accesibility | language,Graphics / Video / Audio / Virtual Reality
Center for Research In Open Source Software (CROSS) at UC Santa Cruz,ceph | hadoop | c++ | javascript | python,distributed networks | reproducibility | storage systems | big data | opendata,Other
CERN-HSF,c/c++ | python | dataanalysis | machinelearning | parallelization,particle physics | high-energy physics | physics | big data | machine learning,Science and Medicine
CGAL Project,c++ | github | git,computational geometry | geometry | mesh processing | arrangement | webhook,Science and Medicine
CHAOSS: Community Health Analytics Open Source Software,python3 | javascript,data visualization | visualization | machine learning,End User Applications
Checker Framework,java,programmer productivity | software engineering | verification | bug finding,Programming Languages and Development Tools
CiviCRM LLC,php | mysql | angularjs | d3.js,civil society | contacts&calendar sync,End User Applications
Classical Language Toolkit,python | javascript,natural language processing |  web,Other
"CLiPS, University of Antwerp",python | javascript | mongodb,natural language processing | machine learning | artificial intelligence | text analytics | text generation,Data and Databases
Cloud Native Computing Foundation (CNCF),kubernetes | prometheus | grpc | docker | golang,cloud | container | monitoring | logging,Cloud
CloudCV,machinelearning | deeplearning | computervision | artificialintelligence | cloud,python |  tensorflow |  django |  angularjs |  react,Cloud
coala,django | python3 | antlr | emberjs | reactjs,code analysis | chatops | devops | language server | dependency management,Programming Languages and Development Tools
Computational Biology @ University of Nebraska-Lincoln,javascript | webgl | reactjs | flask,biological networks | bioinformatics | network simulation | computational biology | omics data,Science and Medicine
Conversations.im,java | android | xmpp | gtk | javascript,instant messaging | mobile | desktop | web,Social / Communications
Cuneiform Digital Library Initiative,python | mariadb | rdf | php | nltk,natural language processing | machine translation | information retrieval | linguistics | semantic web,Data and Databases
DBpedia,rdf | scala | sparql,knowledge graph | data extraction | data analytics,Data and Databases
Debian Project,javascript | ruby | java | python | c/c++,operating system | packaging | applications | community | communications,Operating Systems
Developers Italia,python | ruby | node.js | java | c/c++,government | open data | identity | data-science,Other
Digital Impact Alliance,android | java | php | python | javascript,humanitarian | international | social good | charity | health,End User Applications
Django Software Foundation,python | django,web development | web | web applications,Web
Drupal,web | webdevelopment | contentmanagementsystem | cms | object-oriented,php | symfony | sql | javascript | drupal 8,Web
Earth Science Information Partners (ESIP),kubernetes | dask | xarray | python | javascript,earth data | semantics | discovery | data visualization | earth science,Data and Databases
Elastic,java | golang | node.js | react | jruby,data analytics | data visualization | monitoring | search | logging,Data and Databases
Eta,haskell | jvm | java,functional-programming | runtime systems | compilers | programming-tools,Programming Languages and Development Tools
Fedora Project,linux | python | git | postgresql | ansible,linux distribution | desktop | community | web development | server,Operating Systems
FFmpeg,c | asm | git,audio | video | multimedia | subtitles,Graphics / Video / Audio / Virtual Reality
FOSSASIA,java | javascript | python | android | artificialintelligence,web development | artificial intelligence | personal assistants,Web
FOSSology,php | postgresql | lamp | linux | c/c++,licensing | open source | license compliance | compliance | spdx,Other
