name,technologies,topics
AboutCode,python |  javascript |  Django+PostgreSQL |  C/Rust/Go,dependencies |  vulnerabilities |  SoftwareCompositionAnalysis |  License |  SBOM
52°North Spatial Information Research GmbH,javascript |  android |  java |  web services |  ogc standards,citizen science |  spatial information infrastructures |  open standards |  data analytics |  Geoinformation
AOSSIE,python |  javascript |  android |  flutter |  Blockchain,web |  machine learning |  natural language processing |  mobile |  backend
Apertium,python |  javascript |  c++ |  xml |  bash,natural language processing |  machine translation |  language technology |  less-resources languages
AFLplusplus,llvm |  rust |  fuzzing |  qemu,fuzzing |  ci
Apache Software Foundation,c |  java |  c++,big data |  cloud |  libraries |  other
BeagleBoard.org,linux |  fpga |  risc-v |  dsp |  Zephyr RTOS,robotics |  iot |  ai |  software defined radio |  Personal Server
ArduPilot,python |  lua |  c++ |  pixhawk,robotics |  Drone |  autonomous vehicle |  UGV |  unmanned vehicle
Carbon Language,llvm |  c++ |  clang |  Bison,programming languages |  c++
caMicroscope,python |  javascript |  mongodb |  opencv |  node,data visualization |  image analysis |  AI/ML |  microscopy |  dicom pathology
BRL-CAD,python |  c/c++ |  opengl |  opencl |  scripting,geometry |  2d/3d graphics |  ray tracing |  high-performance computing |  deep neural net rendering
cBioPortal for Cancer Genomics,mysql |  javascript |  java |  react |  typescript,genomics |  cancer |  bioinformatics |  big data |  precision medicine
Blender Foundation,c |  python |  opengl |  c++ |  vulkan,games |  graphics |  3d |  rendering |  animation
CCExtractor Development,c |  linux |  rust |  flutter,vr |  linux |  video |  subtitles |  mobile
CERN-HSF,python |  c/c++ |  data analysis |  artificial intelligence |  container orchestration,machine learning |  big data |  algorithmics |  particle physics |  Performance Optimisation
Ceph,python |  javascript |  c++,distributed systems |  Software-Defined-Storage
checkstyle,java |  antlr,static code analysis |  code review tool |  coding standards |  coding conventions
CGAL Project,c++ |  qt,geometry |  mesh processing |  computation geometry |  geometry processing
CHIPS Alliance,fpga |  chisel |  risc-v |  systemverilog |  ASIC,soc |  IP cores |  ASIC design |  HDL |  chiplets
CircuitVerse.org,javascript |  rails |  canvas |  vue,education |  web |  simulation |  pedagogy |  digital logic design
Chromium,python |  javascript |  java |  c++ |  git,web |  browser |  operating-system
CNCF,prometheus |  kubernetes |  OpenTelemetry |  envoy,cloud |  cloud native |  observability
Cockpit Project,python |  javascript |  react,operating systems |  web |  linux
CloudCV,python |  django |  docker |  angularjs |  aws,machine learning |  artificial intelligence |  computer vision |  deep learning |  AI/ML
coreboot,c |  assembly |  arm |  x86,hardware |  drivers |  firmware |  boot loader |  BIOS
DBpedia,python |  javascript |  java |  scala |  rdf,semantic web |  linked data |  knowledge graph |  data extraction |  largelanguagemodel
Dart,flutter |  dart,programming languages |  mobile apps
CRIU,c |  python |  linux |  go,cloud |  containers |  Checkpoint/Restore
Creative Commons,python |  javascript |  php |  css |  wordpress,web |  nonprofit |  copyleft |  creative commons |  legal
"Department of Biomedical Informatics, Emory University",python |  javascript |  java |  dicom |  Colab,science and medicine |  data integration |  workflows |  radiology |  ML/AL
Drupal Association,mysql |  javascript |  html |  php |  symfony,web |  cloud |  DXP |  Massive community |  Inclusive
Django Software Foundation,python |  django,web |  python
Eclipse Foundation,java |  rtos |  deeplearning |  eclipsejavaide |  jakartaee,robotics |  automotive |  tools |  cloud native java |  iot & edge
FFmpeg,c |  git |  asm,audio |  video |  subtitles |  multimedia
FLARE,python |  ida-pro |  Ghidra,emulation |  disassembly |  decompilation |  malware-analysis |  reverse-engineering
Fortran-lang,python |  c++ |  fortran,compilers |  programming languages |  build systems |  libraries |  Fortran
FreeCAD,python |  c++ |  qt |  OpenCASCADE |  OpenInventor,engineering |  graphics |  cad |  architecture |  CAM
FOSSology,python |  postgresql |  c/c++ |  go |  php,automation |  spdx |  license compliance |  nlp |  compliance automation
Free and Open Source Silicon Foundation,verilog |  risc-v |  compiler |  web development,hardware |  debug |  web services |  simulation |  electronic design tools
FreeType,c |  autotools |  meson,library |  rendering |  fonts |  opentype |  truetype
freifunk,c |  python |  javascript |  openwrt |  gnu/linux,embedded systems |  open hardware |  routing |  wireless networks |  federation
Genome Assembly and Annotation,python |  mysql |  docker |  pytorch |  nextflow,machine learning |  genomics |  big data |  cloud |  hpc
Git,shell script |  git |  c language,version control |  dvcs
GCP Scanner,python |  google cloud,security |  automation |  scanning |  google cloud
Gentoo Foundation,c |  python |  shell |  linux |  bash,operating systems |  security |  embedded |  init |  package
GitLab,javascript |  ruby on rails |  go |  ruby |  vue,cloud |  devops
GeomScale,python |  c++ |  r |  jupyter |  github-actions,mathematics |  data science |  computational biology |  computational geometry |  statistics
Global Alliance for Genomics and Health,python |  postgresql |  java |  react |  rust,web |  genomics |  bioinformatics |  genetics |  standards
GNOME Foundation,c |  linux |  rust |  gtk |  Flatpak,operating systems |  desktop |  graphics |  open source |  apps
GNU Compiler Collection (GCC),c/c++ |  gnu make |  gnu autotools,compilers |  developer tools |  toolchain |  openmp |  link time optimization
GNU Image Manipulation Program,c |  GEGL,graphics |  design |  photography |  illustration
GNU Project,c |  c++ |  gcc |  autotools,tools |  toolchain |  command line |  OS |  binary tools
GRAME,c |  python |  javascript |  c++ |  typescript,audio |  compiler |  digital signal processing |  function programming language
GNU Octave,c++ |  hg,mathematics |  scientific computing |  numerical computation |  numerical methods |  matlab
Haiku,c++ |  posix |  unix,desktop |  kernel |  network |  media |  gui
GnuTLS,c |  Cryptography |  TLS,security |  cryptography |  TLS |  DTLS
GNU Radio,python |  c++ |  qt |  simd,real-time |  dsp |  communications engineering |  cybersecurity |  Software-Defined Radio
gprMax,python |  cuda |  openmp |  mpi |  opencl,science |  engineering |  geophysics |  electromagnetics |  ground penetrating radar
Internet Health Report,python |  javascript |  apache kafka |  VueJS,networking |  routing |  communication |  internet |  data analytics
INCF,python |  javascript |  java |  c++ |  gpu,machine learning |  data visualization |  neuroscience |  brain modelling |  neuroimage processing
Internet Archive,python |  javascript |  go |  elasticsearch |  hadoop,library |  media |  archiving
